PROVID|OFCID|FNAME|LNAME|TITLE|ACTIVE
501|101|Kendall|Singh|DDS|1
502|101|Avery|Garza|DMD|1
503|101|Jordan|Moreno|RDH|1
504|101|Taylor|Vasquez|RDH|1
505|102|Remy|Okafor|DDS|1
506|102|Elliot|Garza|DMD|1
507|102|Bellamy|Holloway|RDH|1
508|102|Parker|Lindqvist|RDH|1
509|103|Arden|Okafor|DDS|1
510|103|Blake|Mercer|DMD|1
511|103|Sage|Moreno|RDH|1
512|103|Bellamy|Dawson|RDH|1
513|104|Sage|Escobar|DDS|1
514|104|Reese|Dawson|DMD|1
515|104|Shiloh|Ibarra|RDH|1
516|104|Marlow|Huang|RDH|1
517|105|Morgan|Nakamura|DDS|1
518|105|Emerson|Alvarez|DMD|1
519|105|Shiloh|Whitfield|RDH|1
520|105|Cameron|Sato|RDH|1
521|106|Devon|Okafor|DDS|1
522|106|Dakota|Torres|DMD|1
523|106|Blake|Alvarez|RDH|1
524|106|Rowan|Garza|RDH|1
525|107|Rowan|Zamora|DDS|1
526|107|Shiloh|Okafor|DMD|1
527|107|Avery|Holloway|RDH|1
528|107|Dakota|Nakamura|RDH|1
529|108|Elliot|Singh|DDS|1
530|108|Casey|Singh|DMD|1
531|108|Marlow|Kimura|RDH|1
532|108|Finley|Dawson|RDH|1
533|109|Bellamy|Nakamura|DDS|1
534|109|Harper|Moreno|DMD|1
535|109|Arden|Brooks|RDH|1
536|109|Elliot|Xu|RDH|1
537|110|Dakota|Yilmaz|DDS|1
538|110|Avery|Mercer|DMD|1
539|110|Parker|Ueda|RDH|1
540|110|Arden|Huang|RDH|1
541|111|Cameron|Navarro|DDS|1
542|111|Morgan|Sato|DMD|1
543|111|Reese|Torres|RDH|1
544|111|Wren|Okafor|RDH|1
545|112|Marlow|Navarro|DDS|1
546|112|Reese|Ueda|DMD|1
547|112|Peyton|Ibarra|RDH|1
548|112|Finley|Ueda|RDH|1
549|113|Hayden|Brooks|DDS|1
550|113|Bellamy|Xu|DMD|1
551|113|Peyton|Dawson|RDH|1
552|113|Kendall|Huang|RDH|1
553|114|Devon|Patel|DDS|1
554|114|Devon|Patel|DMD|1
555|114|Peyton|Mercer|RDH|1
556|114|Dakota|Ibarra|RDH|1
557|115|Blake|Nakamura|DDS|1
558|115|Reese|Mercer|DMD|1
559|115|Jordan|Singh|RDH|1
560|115|Jordan|Sato|RDH|1
561|101|Former|Associate|DMD|0
