Application ID,Request ID,Financing Co.,Program,Inquiry Type,Decision,Application Date,Decision Date,Amount Requested,Credit Limit,Decision Reason,Purchase Date,Purchase Amount,Merchant Name,Applicant First Name,Applicant Last Name,DOB,Chart #
CA-100245,,CareCredit,Prime,Hard,Declined,9/3/2021,9/3/2021,$550.00,,Insufficient credit history,,,Sample Dental – Carson,Rowan,Escobar,12/24/2009,
AL-100261,,Alphaeon Credit,Prime,Hard,Approved,10/3/2021,10/3/2021,$800.00,"$1,100.00",,10/20/2021,$920.00,Sample Dental – Carson,Kendall,Singh,3/23/1989,4000083
CH-100234,,Cherry,Prime,Hard,Approved,5/7/2022,5/7/2022,$300.00,$400.00,,5/16/2022,$295.00,Sample Dental – Carson,Rowan,Holloway,8/14/1963,
CH-100410,REQ-5014,Cherry,Prime,Soft,Pre-declined,8/7/2022,8/7/2022,$800.00,,Insufficient credit history,,,Sample Dental – West Covina,Bellamy,Yilmaz,8/21/1953,
AL-100411,REQ-5014,Alphaeon Credit,Prime,Soft,Pre-declined,8/7/2022,8/8/2022,$800.00,,Insufficient credit history,,,Sample Dental – West Covina,Bellamy,Yilmaz,8/21/1953,
CO-100412,REQ-5014,Covered Care,SubPrime,Hard,Approved,8/10/2022,8/11/2022,$800.00,"$1,100.00",,8/26/2022,$848.00,Sample Dental – West Covina,Bellamy,Yilmaz,8/21/1953,
CA-100328,,CareCredit,Prime,Soft,Prequalified,10/20/2022,10/20/2022,$450.00,$600.00,,,,Sample Dental – West Covina,Sage,Yilmaz,5/4/1963,
CH-100329,,Cherry,Prime,Soft,Pre-declined,10/20/2022,10/20/2022,$450.00,,Unable to verify income,,,Sample Dental – West Covina,Sage,Yilmaz,5/4/1963,
SU-100330,,Sunbit,Prime,Soft,Pre-declined,10/20/2022,10/21/2022,$450.00,,Credit score below threshold,,,Sample Dental – West Covina,Sage,Yilmaz,5/4/1963,
CA-100237,,CareCredit,Prime,Soft,Prequalified,12/10/2022,12/10/2022,$450.00,$700.00,,,,Sample Dental – Carson,Rowan,Garza,6/21/1975,
SU-100238,,Sunbit,Prime,Soft,Pre-declined,12/10/2022,12/10/2022,$450.00,,Recent delinquency,,,Sample Dental – Carson,Rowan,Garza,6/21/1975,
PR-100239,,Proceed Finance,Prime,Soft,Prequalified,12/10/2022,12/13/2022,$450.00,$600.00,,,,Sample Dental – Carson,Rowan,Garza,6/21/1975,
CA-100317,,CareCredit,Prime,Soft,Funded,11/3/2023,11/3/2023,"$2,950.00","$3,300.00",,11/16/2023,"$3,134.00",Sample Dental – West Covina,Tatum,Yilmaz,2/9/1993,4000250
AL-100318,,Alphaeon Credit,Prime,Soft,Pending,11/3/2023,,"$2,950.00",,,,,Sample Dental – West Covina,Tatum,Yilmaz,2/9/1993,
CA-100287,,CareCredit,Prime,Soft,Funded,5/2/2024,5/2/2024,$550.00,$800.00,,5/5/2024,$572.00,Sample Dental – West Covina,Marlow,Rasmussen,5/14/2004,
AL-100288,,Alphaeon Credit,Prime,Soft,Prequalified,5/2/2024,5/3/2024,$550.00,$800.00,,,,Sample Dental – West Covina,Marlow,Rasmussen,5/14/2004,
AL-100250,,Alphaeon Credit,Prime,Hard,Pending,5/12/2024,,$550.00,,,,,Sample Dental – West Covina,Dakota,Alvarez,8/8/2008,4000045
CA-100289,,CareCredit,Prime,Hard,Funded,7/8/2024,7/8/2024,$800.00,"$1,100.00",,7/22/2024,$993.00,Sample Dental – West Covina,Shiloh,Rasmussen,4/23/2006,
CA-100394,,CareCredit,Prime,Hard,Approved,3/19/2025,3/19/2025,$400.00,$500.00,,,,Sample Dental – Carson,Bellamy,Kimura,1/22/2015,4000380
AL-100384,,Alphaeon Credit,Prime,Hard,Declined,4/22/2025,4/22/2025,"$2,950.00",,Unable to verify income,,,Sample Dental – Downey,Avery,Holloway,3/13/1970,
AC-100385,,Access,SubPrime,Hard,Approved,4/22/2025,4/22/2025,"$2,950.00","$3,200.00",,,,Sample Dental – Downey,Avery,Holloway,3/13/1970,
CH-100395,,Cherry,Prime,Soft,Pending,5/21/2025,,"$2,950.00",,,,,Sample Dental – Carson,Bellamy,Kimura,1/22/2015,
CA-100396,,CareCredit,Prime,Soft,Withdrawn,5/21/2025,,"$2,950.00",,,,,Sample Dental – Carson,Bellamy,Kimura,1/22/2015,
FO-100397,,Fortiva,SubPrime,Hard,Declined,5/24/2025,5/27/2025,"$2,950.00",,Credit score below threshold,,,Sample Dental – Carson,Bellamy,Kimura,1/22/2015,4000380
CA-100303,,CareCredit,Prime,Hard,Approved,6/19/2025,6/19/2025,$800.00,"$1,000.00",,6/22/2025,$688.00,Sample Dental – Carson,Sage,Patel,8/8/2007,
CA-100331,,CareCredit,Prime,Soft,Prequalified,9/21/2025,9/21/2025,$400.00,$400.00,,,,Sample Dental – West Covina,Peyton,Nakamura,10/14/1980,
CH-100332,,Cherry,Prime,Soft,Pre-declined,9/21/2025,9/22/2025,$400.00,,Debt-to-income too high,,,Sample Dental – West Covina,Peyton,Nakamura,10/14/1980,4000264
AL-100333,,Alphaeon Credit,Prime,Soft,Prequalified,9/21/2025,9/21/2025,$400.00,$600.00,,10/9/2025,$406.00,Sample Dental – West Covina,Peyton,Nakamura,10/14/1980,
SU-100281,,Sunbit,Prime,Hard,Declined,10/4/2025,10/4/2025,$550.00,,Debt-to-income too high,,,Sample Dental – Downey,Devon,Brooks,8/12/2010,
AL-100320,,Alphaeon Credit,Prime,Soft,Pre-declined,10/31/2025,11/3/2025,"$1,750.00",,Credit score below threshold,,,Sample Dental – Downey,Reese,Rasmussen,12/17/1979,
CA-100321,,CareCredit,Prime,Soft,Prequalified,10/31/2025,10/31/2025,"$1,750.00","$2,400.00",,,,Sample Dental – Downey,Reese,Rasmussen,12/17/1979,
CH-100322,,Cherry,Prime,Soft,Funded,10/31/2025,10/31/2025,"$1,750.00","$2,400.00",,11/6/2025,"$1,798.00",Sample Dental – Downey,Reese,Rasmussen,12/17/1979,
CA-100379,,CareCredit,Prime,Soft,Prequalified,11/17/2025,11/17/2025,$300.00,$400.00,,,,Sample Dental – West Covina,Dakota,Jensen,12/16/1968,
PR-100380,,Proceed Finance,Prime,Soft,Prequalified,11/17/2025,11/17/2025,$300.00,$400.00,,,,Sample Dental – West Covina,Dakota,Jensen,12/16/1968,
AL-100363,,Alphaeon Credit,Prime,Soft,Pre-declined,12/3/2025,12/3/2025,$550.00,,Unable to verify income,,,Sample Dental – West Covina,Jordan,Dawson,10/7/1938,
SU-100364,,Sunbit,Prime,Soft,Prequalified,12/3/2025,12/4/2025,$550.00,$600.00,,12/13/2025,$523.00,Sample Dental – West Covina,Jordan,Dawson,10/7/1938,
CA-100365,,CareCredit,Prime,Soft,Pre-declined,12/3/2025,12/3/2025,$550.00,,Insufficient credit history,,,Sample Dental – West Covina,Jordan,Dawson,10/7/1938,4000324
AL-100342,,Alphaeon Credit,Prime,Soft,Withdrawn,12/10/2025,,$300.00,,,,,Sample Dental – West Covina,Reese,Quintero,9/21/1993,4000289
CA-100343,,CareCredit,Prime,Soft,Pre-declined,12/10/2025,12/10/2025,$300.00,,Unable to verify income,,,Sample Dental – West Covina,Reese,Quintero,9/21/1993,
CO-100344,,Covered Care,SubPrime,Hard,Declined,12/13/2025,12/13/2025,$300.00,,Unable to verify income,,,Sample Dental – West Covina,Reese,Quintero,9/21/1993,
AL-100355,,Alphaeon Credit,Prime,Hard,Funded,12/13/2025,12/13/2025,$300.00,$400.00,,1/1/2026,$261.00,Sample Dental – West Covina,Arden,Brooks,6/15/1990,4000309
CA-100354,,CareCredit,Prime,Hard,Funded,12/21/2025,12/22/2025,$450.00,$600.00,,12/25/2025,$503.00,Sample Dental – West Covina,Devon,Escobar,11/14/1940,
